id,title,objectives,chapter_id,planned_date,planned_duration_minutes,order_index
69,L'eau dans la nature,"Identifier l'eau dans différents états, cycle de l'eau, usage quotidien",27,2025-09-02 00:00:00,120,1
70,Les trois états physiques,"Propriétés des états solide, liquide et gazeux",27,2025-09-09 00:00:00,90,2
71,Volume et capacité,"Notion de volume, mesure avec éprouvette graduée",27,2025-09-16 00:00:00,90,3
72,Masse des corps,"Notion de masse, utilisation de la balance",27,2025-09-23 00:00:00,120,4
73,Masse volumique,Définition et calculs de masse volumique,27,2025-09-30 00:00:00,120,5
74,Pression des gaz,"Pression atmosphérique, pression d'un gaz",27,2025-10-07 00:00:00,90,6
75,Modèle particulaire,Description particulaire des états physiques,27,2025-10-14 00:00:00,90,7
76,Température et chaleur,"Distinction température/chaleur, thermomètre",27,2025-10-21 00:00:00,90,8
77,Changements d'état,"Fusion, solidification, vaporisation, conservation masse",27,2025-11-04 00:00:00,90,9
78,Mélanges,"Mélange homogène/hétérogène, mélange avec l'eau",27,2025-11-11 00:00:00,90,10
79,Dissolution,"Dissolution solide/gaz, saturation, conservation masse",27,2025-11-18 00:00:00,90,11
80,Séparation - Corps pur,"Techniques de séparation, caractéristiques corps pur",27,2025-11-25 00:00:00,180,12
81,Traitement des eaux,Traitement eaux potables et eaux usées,27,2025-12-02 00:00:00,120,13
82,Électricité quotidienne,"L'électricité dans la vie, sources de production",28,2025-01-13 00:00:00,90,1
83,Circuit électrique simple,Réalisation et schématisation d'un circuit,28,2025-01-20 00:00:00,120,2
84,Conducteurs et isolants,Classification des matériaux électriques,28,2025-01-27 00:00:00,90,3
85,Montages électriques,Montage en série et en dérivation,28,2025-02-03 00:00:00,120,4
86,Courant électrique continu,"Sens du courant, propriétés",28,2025-02-10 00:00:00,120,5
87,Mesures électriques,"Multimètre, mesure intensité et tension",28,2025-02-17 00:00:00,120,6
88,Résistance électrique,"Code couleurs, mesure résistance",28,2025-02-24 00:00:00,120,7
89,Lois électriques,"Loi d'unicité, loi des nœuds, loi d'additivité",28,2025-03-03 00:00:00,180,8
90,Sécurité électrique,"Dangers, court-circuit, protection",28,2025-03-10 00:00:00,120,9
91,L'air qui nous entoure,"Couches atmosphère, formation vent, météo",29,2025-09-02 00:00:00,120,1
92,Propriétés de l'air,"Propriétés physiques, modèle particulaire, masse",29,2025-09-09 00:00:00,90,2
93,Constituants de l'air,"Composition de l'air, proportions des gaz",29,2025-09-16 00:00:00,90,3
94,Molécules et atomes,"Modèle moléculaire, symboles et formules",29,2025-09-23 00:00:00,120,4
95,Corps simples et composés,"Distinction corps simple/composé, exemples",29,2025-09-30 00:00:00,90,5
96,Combustion du charbon,"Combustion complète, produits de combustion",29,2025-10-07 00:00:00,120,6
97,Combustion du butane,"Combustion complète/incomplète, dangers CO",29,2025-10-14 00:00:00,120,7
98,Pollution de l'air,"Sources pollution, effet de serre, ozone",29,2025-10-21 00:00:00,120,8
99,Transformations chimiques,Différence transformation physique/chimique,30,2025-01-13 00:00:00,120,1
100,Modélisation réactions,"Équations chimiques, symboles",30,2025-01-20 00:00:00,120,2
101,Conservation en chimie,Conservation masse et nombre d'atomes,30,2025-01-27 00:00:00,120,3
102,Équilibrage équations,Techniques d'équilibrage des équations,30,2025-02-03 00:00:00,120,4
103,Synthèse chimique,"Dioxygène naturel/laboratoire, synthèse",30,2025-02-10 00:00:00,120,5
104,Pétrole et dérivés,"Origine, raffinement, produits pétroliers",30,2025-02-17 00:00:00,120,6
105,Impact environnemental,"Pollution chimique, développement durable",30,2025-02-24 00:00:00,120,7
106,Nombres entiers naturels,"Lecture, écriture, comparaison des nombres entiers",33,2025-09-02 00:00:00,90,1
107,Addition et soustraction,"Techniques opératoires, propriétés",33,2025-09-09 00:00:00,90,2
108,Multiplication,"Tables de multiplication, techniques de calcul",33,2025-09-16 00:00:00,90,3
109,Division euclidienne,"Division avec reste, critères de divisibilité",33,2025-09-23 00:00:00,120,4
110,Fractions simples,"Introduction aux fractions, représentation",33,2025-09-30 00:00:00,120,5
111,Nombres décimaux,"Lecture, écriture, comparaison des décimaux",33,2025-10-07 00:00:00,120,6
112,"Points, droites, segments","Notations géométriques, constructions",34,2025-01-13 00:00:00,90,1
113,Angles,"Types d'angles, mesure, construction",34,2025-01-20 00:00:00,120,2
114,Triangles,"Types de triangles, propriétés",34,2025-01-27 00:00:00,120,3
115,Quadrilatères,"Rectangle, carré, losange, propriétés",34,2025-02-03 00:00:00,120,4
116,Cercle,"Rayon, diamètre, construction",34,2025-02-10 00:00:00,90,5
117,Périmètres,Calcul de périmètres des figures usuelles,34,2025-02-17 00:00:00,90,6
118,Définitions et cercle trigonométrique,,39,,90,1
119,Fonctions trigonométriques de base,,39,,90,2
120,Relations trigonométriques,,39,,90,3
121,Résolution d'équations trigonométriques,,39,,90,4
122,Applications de la trigonométrie,,39,,90,5
123,Statistiques descriptives,,40,,90,1
124,Mesures de tendance centrale,,40,,90,2
125,Mesures de dispersion,,40,,90,3
126,Représentations graphiques,,40,,90,4
127,Analyse et interprétation de données,,40,,90,5
128,test 1AC,"",47,,22,1
